colum1,colum2,Columna1,Columna2,Columna2
08110219,2,,,
08110230,2,,,
08110259,2,,,
08110262,2,,,
08110288,2,,,
08110332,2,,,
08110372,2,,,
08110386,2,,,
08110387,2,,,
08110416,2,,,
08110426,2,,,
08110460,2,,,
08110469,2,,,
08110540,2,,,
08110558,2,,,
08110590,2,,,
08110614,2,,,
08110628,2,,,
08110633,2,,,
08110651,2,,,
08110664,2,,,
08110668,2,,,
08110684,2,,,
08110686,2,,,
08110688,2,,,
08110692,2,,,
08110704,2,,,
08110716,2,,,
08110717,2,,,
08110757,2,,,
08110768,2,,,
08110782,2,,,
08110784,2,,,
08110801,2,,,
08110820,2,,,
08110849,2,,,
08110857,2,,,
08110883,2,,,
08110905,2,,,
08110909,2,,,
08110926,2,,,
08110933,2,,,
08110938,2,,,
08110956,2,,,
08110958,2,,,
08110977,2,,,
08110978,2,,,
08110982,2,,,
08111015,2,,,
08111021,2,,,
08111035,2,,,
08111038,2,,,
08111061,2,,,
08111076,2,,,
08111078,2,,,
08111109,2,,,
08111125,2,,,
08111136,2,,,
08111159,2,,,
08111173,2,,,
08111199,2,,,
08111211,2,,,
08111223,2,,,
08111255,2,,,
08111258,2,,,
08111266,2,,,
08111276,2,,,
08111277,2,,,
08111278,2,,,
08111282,2,,,
08111292,2,,,
08111297,2,,,
08111302,2,,,
08111307,2,,,
08111317,2,,,
08111369,2,,,
08111388,2,,,
08111411,2,,,
08111442,2,,,
08111448,2,,,
08111461,2,,,
08111480,2,,,
08111500,2,,,
08111511,2,,,
08111531,2,,,
08111542,2,,,
08111545,2,,,
08111546,2,,,
08111560,2,,,
08111563,2,,,
08111611,2,,,
08111651,2,,,
08111672,2,,,
08111677,2,,,
08111680,2,,,
08111700,2,,,
08111702,2,,,
08111712,2,,,
08111718,2,,,
08111726,2,,,
08111727,2,,,
08111755,2,,,
08111804,2,,,
08111807,2,,,
08111815,2,,,
08111847,2,,,
08111868,2,,,
08111896,2,,,
08111899,2,,,
08111910,2,,,
08111935,2,,,
08111939,2,,,
08111947,2,,,
08111966,2,,,
08111967,2,,,
08112024,2,,,
08112050,2,,,
08112088,2,,,
08112121,2,,,
08112138,2,,,
08112141,2,,,
08112207,2,,,
08112227,2,,,
08112240,2,,,
08112241,2,,,
08112243,2,,,
08112244,2,,,
08112245,2,,,
08112256,2,,,
08112269,2,,,
08112283,2,,,
08112291,2,,,
08112293,2,,,
08112311,2,,,
08112348,2,,,
08112355,2,,,
08112361,2,,,
08112364,2,,,
08112378,2,,,
08112385,2,,,
08112396,2,,,
08112408,2,,,
08112415,2,,,
08112445,2,,,
08112451,2,,,
08112457,2,,,
08112466,2,,,
08112468,2,,,
08112478,2,,,
08112507,2,,,
08112512,2,,,
08112535,2,,,
08112536,2,,,
08112562,2,,,
08112565,2,,,
08112594,2,,,
08112614,2,,,
08112618,2,,,
08112664,2,,,
08112666,2,,,
08112671,2,,,
08112675,2,,,
08112684,2,,,
08112710,2,,,
08112719,2,,,
08112737,2,,,
08112738,2,,,
08112758,2,,,
08112761,2,,,
08112768,2,,,
08112776,2,,,
08112781,2,,,
08112794,2,,,
08112795,2,,,
08112799,2,,,
08112812,2,,,
08112832,2,,,
08112869,2,,,
08112882,2,,,
08112886,2,,,
08112891,2,,,
08112908,2,,,
08112918,2,,,
08112921,2,,,
08112924,2,,,
08112930,2,,,
08112937,2,,,
08112955,2,,,
08112969,2,,,
08112977,2,,,
08112984,2,,,
08112992,2,,,
