co1,co2,Columna1,Columna2,Columna2
08230894,0,,,
08230895,0,,,
08230896,0,,,
08230897,0,,,
08230898,0,,,
08230899,0,,,
08230900,0,,,
08230901,0,,,
08230902,0,,,
08230903,0,,,
08230904,0,,,
08230905,0,,,
08230906,0,,,
08230907,0,,,
08230908,0,,,
08230909,0,,,
08230910,0,,,
08230911,0,,,
08230912,0,,,
08230913,0,,,
08230914,0,,,
08230915,0,,,
08230916,0,,,
08230917,0,,,
08230918,0,,,
08230919,0,,,
08230920,0,,,
08230921,0,,,
08230922,0,,,
08230923,0,,,
08230924,0,,,
08230925,0,,,
08230926,0,,,
08230927,0,,,
08230928,0,,,
08230929,0,,,
08230930,0,,,
08230931,0,,,
08230932,0,,,
08230933,0,,,
08230934,0,,,
08230935,0,,,
08230936,0,,,
08230937,0,,,
08230938,0,,,
08230939,0,,,
08230940,0,,,
08230941,0,,,
08230942,0,,,
08230943,0,,,
08230944,0,,,
08230945,0,,,
08230946,0,,,
08230947,0,,,
08230948,0,,,
08230949,0,,,
08230950,0,,,
08230951,0,,,
08230952,0,,,
08230953,0,,,
08230954,0,,,
08230955,0,,,
08230956,0,,,
08230957,0,,,
08230958,0,,,
08230959,0,,,
08230960,0,,,
08230961,0,,,
08230962,0,,,
08230963,0,,,
08230964,0,,,
08230965,0,,,
08230966,0,,,
08230967,0,,,
08230968,0,,,
08230969,0,,,
08230970,0,,,
08230971,0,,,
08230972,0,,,
08230973,0,,,
08230974,0,,,
08230975,0,,,
08230976,0,,,
08230977,0,,,
08230978,0,,,
08230979,0,,,
08230980,0,,,
08230981,0,,,
08230982,0,,,
08230983,0,,,
08230984,0,,,
08230985,0,,,
08230986,0,,,
08230987,0,,,
08230988,0,,,
08230989,0,,,
08230990,0,,,
08230991,0,,,
08230992,0,,,
08230993,0,,,
08230994,0,,,
08230995,0,,,
08230996,0,,,
08230997,0,,,
08230998,0,,,
08230999,0,,,
08231000,0,,,
08231001,0,,,
08231002,0,,,
08231003,0,,,
08231004,0,,,
08231005,0,,,
08231006,0,,,
08231007,0,,,
08231008,0,,,
08231009,0,,,
08231010,0,,,
08231011,0,,,
08231012,0,,,
08231013,0,,,
08231014,0,,,
08231015,0,,,
08231016,0,,,
08231017,0,,,
08231018,0,,,
08231019,0,,,
08231020,0,,,
08231021,0,,,
08231022,0,,,
08231023,0,,,
08231024,0,,,
08231025,0,,,
08231026,0,,,
08231027,0,,,
08231028,0,,,
08231029,0,,,
08231030,0,,,
08231031,0,,,
08231032,0,,,
08231033,0,,,
08231034,0,,,
08231035,0,,,
08231036,0,,,
08231037,0,,,
08231038,0,,,
08231039,0,,,
08231040,0,,,
08231041,0,,,
08231042,0,,,
08231043,0,,,
08231044,0,,,
08231045,0,,,
08231046,0,,,
08231047,0,,,
08231048,0,,,
08231049,0,,,
08231050,0,,,
08231051,0,,,
08231052,0,,,
08231053,0,,,
08231054,0,,,
08231055,0,,,
08231056,0,,,
08231057,0,,,
08231058,0,,,
08231059,0,,,
08231060,0,,,
08231061,0,,,
08231062,0,,,
08231063,0,,,
08231064,0,,,
08231065,0,,,
08231066,0,,,
08231067,0,,,
08231068,0,,,
08231069,0,,,
08231070,0,,,
08231071,0,,,
08231072,0,,,
08231073,0,,,
08231074,0,,,
08231075,0,,,
08231076,0,,,
08231077,0,,,
08231078,0,,,
08231079,0,,,
08231080,0,,,
08231081,0,,,
08231082,0,,,
08231083,0,,,
08231084,0,,,
08231085,0,,,
08231086,0,,,
08231087,0,,,
08231088,0,,,
08231089,0,,,
08231090,0,,,
08231091,0,,,
08231092,0,,,
08231093,0,,,
08231094,0,,,
08231095,0,,,
08231096,0,,,
08231097,0,,,
08231098,0,,,
08231099,0,,,
08231100,0,,,
08231101,0,,,
08231102,0,,,
08231103,0,,,
08231104,0,,,
08231105,0,,,
08231106,0,,,
08231107,0,,,
08231108,0,,,
08231109,0,,,
08231110,0,,,
08231111,0,,,
08231112,0,,,
08231113,0,,,
08231114,0,,,
08231115,0,,,
08231116,0,,,
08231117,0,,,
08231118,0,,,
08231119,0,,,
08231120,0,,,
08231121,0,,,
08231122,0,,,
08231123,0,,,
08231124,0,,,
08231125,0,,,
08231126,0,,,
08231127,0,,,
08231128,0,,,
08231129,0,,,
08231130,0,,,
08231131,0,,,
08231132,0,,,
08231133,0,,,
08231134,0,,,
08231135,0,,,
08231136,0,,,
08231137,0,,,
08231138,0,,,
08231139,0,,,
08231140,0,,,
08231141,0,,,
08231142,0,,,
08231143,0,,,
08231144,0,,,
08231145,0,,,
08231146,0,,,
08231147,0,,,
08231148,0,,,
08231149,0,,,
08231150,0,,,
08231151,0,,,
08231152,0,,,
08231153,0,,,
08231154,0,,,
08231155,0,,,
08231156,0,,,
08231157,0,,,
08231158,0,,,
08231159,0,,,
08231160,0,,,
08231161,0,,,
08231162,0,,,
08231163,0,,,
08231164,0,,,
08231165,0,,,
08231166,0,,,
08231167,0,,,
08231168,0,,,
08231169,0,,,
08231170,0,,,
08231171,0,,,
08231172,0,,,
08231173,0,,,
08231174,0,,,
08231175,0,,,
08231176,0,,,
08231177,0,,,
08231178,0,,,
08231179,0,,,
08231180,0,,,
08231181,0,,,
08231182,0,,,
08231183,0,,,
08231184,0,,,
08231185,0,,,
08231186,0,,,
08231187,0,,,
08231188,0,,,
08231189,0,,,
08231190,0,,,
08231191,0,,,
08231192,0,,,
08231193,0,,,
08231194,0,,,
08231195,0,,,
08231196,0,,,
08231197,0,,,
08231198,0,,,
08231199,0,,,
08231200,0,,,
08231201,0,,,
08231202,0,,,
08231203,0,,,
08231204,0,,,
08231205,0,,,
08231206,0,,,
08231207,0,,,
08231208,0,,,
08231209,0,,,
08231210,0,,,
08231211,0,,,
08231212,0,,,
08231213,0,,,
08231214,0,,,
08231215,0,,,
08231216,0,,,
08231217,0,,,
08231218,0,,,
08231219,0,,,
08231220,0,,,
08231221,0,,,
08231222,0,,,
08231223,0,,,
08231224,0,,,
08231225,0,,,
08231226,0,,,
08231227,0,,,
08231228,0,,,
08231229,0,,,
08231230,0,,,
08231231,0,,,
08231232,0,,,
08231233,0,,,
08231234,0,,,
08231235,0,,,
08231236,0,,,
08231237,0,,,
08231238,0,,,
08231239,0,,,
08231240,0,,,
08231241,0,,,
08231242,0,,,
08231243,0,,,
08231244,0,,,
08231245,0,,,
08231246,0,,,
08231247,0,,,
08231248,0,,,
08231249,0,,,
08231250,0,,,
08231251,0,,,
08231252,0,,,
08231253,0,,,
08231254,0,,,
08231255,0,,,
08231256,0,,,
08231257,0,,,
08231258,0,,,
08231259,0,,,
08231260,0,,,
08231261,0,,,
08231262,0,,,
08231263,0,,,
08231264,0,,,
08231265,0,,,
08231266,0,,,
08231267,0,,,
08231268,0,,,
08231269,0,,,
08231270,0,,,
08231271,0,,,
08231272,0,,,
08231273,0,,,
08231274,0,,,
08231275,0,,,
08231276,0,,,
08231277,0,,,
08231278,0,,,
08231279,0,,,
08231280,0,,,
08231281,0,,,
08231282,0,,,
08231283,0,,,
08231284,0,,,
08231285,0,,,
08231286,0,,,
08231287,0,,,
08231288,0,,,
08231289,0,,,
08231290,0,,,
08231291,0,,,
08231292,0,,,
08231293,0,,,
08231294,0,,,
08231295,0,,,
08231296,0,,,
08231297,0,,,
08231298,0,,,
08231299,0,,,
08231300,0,,,
08231301,0,,,
08231302,0,,,
08231303,0,,,
08231304,0,,,
08231305,0,,,
08231306,0,,,
08231307,0,,,
08231308,0,,,
08231309,0,,,
08231310,0,,,
08231311,0,,,
08231312,0,,,
08231313,0,,,
08231314,0,,,
08231315,0,,,
08231316,0,,,
08231317,0,,,
08231318,0,,,
08231319,0,,,
08231320,0,,,
08231321,0,,,
08231322,0,,,
08231323,0,,,
08231324,0,,,
08231325,0,,,
08231326,0,,,
08231327,0,,,
08231328,0,,,
08231329,0,,,
08231330,0,,,
08231331,0,,,
08231332,0,,,
08231333,0,,,
08231334,0,,,
08231335,0,,,
08231336,0,,,
08231337,0,,,
08231338,0,,,
08231339,0,,,
08231340,0,,,
08231341,0,,,
08231342,0,,,
08231343,0,,,
08231344,0,,,
08231345,0,,,
08231346,0,,,
08231347,0,,,
08231348,0,,,
08231349,0,,,
08231350,0,,,
08231351,0,,,
08231352,0,,,
08231353,0,,,
08231354,0,,,
08231355,0,,,
08231356,0,,,
08231357,0,,,
08231358,0,,,
08231359,0,,,
08231360,0,,,
08231361,0,,,
08231362,0,,,
08231363,0,,,
08231364,0,,,
08231365,0,,,
08231366,0,,,
08231367,0,,,
08231368,0,,,
08231369,0,,,
08231370,0,,,
08231371,0,,,
08231372,0,,,
08231373,0,,,
08231374,0,,,
08231375,0,,,
08231376,0,,,
08231377,0,,,
08231378,0,,,
08231379,0,,,
08231380,0,,,
08231381,0,,,
08231382,0,,,
08231383,0,,,
08231384,0,,,
08231385,0,,,
08231386,0,,,
