ca1,co2,Columna1,Columna2,Columna2
08330601,0,,,
08330602,0,,,
08330603,0,,,
08330604,0,,,
08330605,0,,,
08330606,0,,,
08330607,0,,,
08330608,0,,,
08330609,0,,,
08330610,0,,,
08330611,0,,,
08330612,0,,,
08330613,0,,,
08330614,0,,,
08330615,0,,,
08330616,0,,,
08330617,0,,,
08330618,0,,,
08330619,0,,,
08330620,0,,,
08330621,0,,,
08330622,0,,,
08330623,0,,,
08330624,0,,,
08330625,0,,,
08330626,0,,,
08330627,0,,,
08330628,0,,,
08330629,0,,,
08330630,0,,,
08330631,0,,,
08330632,0,,,
08330633,0,,,
08330634,0,,,
08330635,0,,,
08330636,0,,,
08330637,0,,,
08330638,0,,,
08330639,0,,,
08330640,0,,,
08330641,0,,,
08330642,0,,,
08330643,0,,,
08330644,0,,,
08330645,0,,,
08330646,0,,,
08330647,0,,,
08330648,0,,,
08330649,0,,,
08330650,0,,,
08330651,0,,,
08330652,0,,,
08330653,0,,,
08330654,0,,,
08330655,0,,,
08330656,0,,,
08330657,0,,,
08330658,0,,,
08330659,0,,,
08330660,0,,,
08330661,0,,,
08330662,0,,,
08330663,0,,,
08330664,0,,,
08330665,0,,,
08330666,0,,,
08330667,0,,,
08330668,0,,,
08330669,0,,,
08330670,0,,,
08330671,0,,,
08330672,0,,,
08330673,0,,,
08330674,0,,,
08330675,0,,,
08330676,0,,,
08330677,0,,,
08330678,0,,,
08330679,0,,,
08330680,0,,,
08330681,0,,,
08330682,0,,,
08330683,0,,,
08330684,0,,,
08330685,0,,,
08330686,0,,,
08330687,0,,,
08330688,0,,,
08330689,0,,,
08330690,0,,,
08330691,0,,,
08330692,0,,,
08330693,0,,,
08330694,0,,,
08330695,0,,,
08330696,0,,,
08330697,0,,,
08330698,0,,,
08330699,0,,,
08330700,0,,,
08330701,0,,,
08330702,0,,,
08330703,0,,,
08330704,0,,,
08330705,0,,,
08330706,0,,,
08330707,0,,,
08330708,0,,,
08330709,0,,,
08330710,0,,,
08330711,0,,,
08330712,0,,,
08330713,0,,,
08330714,0,,,
08330715,0,,,
08330716,0,,,
08330717,0,,,
08330718,0,,,
08330719,0,,,
08330720,0,,,
08330721,0,,,
08330722,0,,,
08330723,0,,,
08330724,0,,,
08330725,0,,,
08330726,0,,,
08330727,0,,,
08330728,0,,,
08330729,0,,,
08330730,0,,,
08330731,0,,,
08330732,0,,,
08330733,0,,,
08330734,0,,,
08330735,0,,,
08330736,0,,,
08330737,0,,,
08330738,0,,,
08330739,0,,,
08330740,0,,,
08330741,0,,,
08330742,0,,,
08330743,0,,,
08330744,0,,,
08330745,0,,,
08330746,0,,,
08330747,0,,,
08330748,0,,,
08330749,0,,,
08330750,0,,,
08330751,0,,,
08330752,0,,,
08330753,0,,,
08330754,0,,,
08330755,0,,,
08330756,0,,,
08330757,0,,,
08330758,0,,,
08330759,0,,,
08330760,0,,,
08330761,0,,,
08330762,0,,,
08330763,0,,,
08330764,0,,,
08330765,0,,,
08330766,0,,,
08330767,0,,,
08330768,0,,,
08330769,0,,,
08330770,0,,,
08330771,0,,,
08330772,0,,,
08330773,0,,,
08330774,0,,,
08330775,0,,,
08330776,0,,,
08330777,0,,,
08330778,0,,,
08330779,0,,,
08330780,0,,,
08330781,0,,,
