asd,co2,Columna1,Columna2,Columna2
41002613,0,,,
41002614,0,,,
41002615,0,,,
41002616,0,,,
41002617,0,,,
41002618,0,,,
41002619,0,,,
41002620,0,,,
41002621,0,,,
41002622,0,,,
41002623,0,,,
41002624,0,,,
41002625,0,,,
41002626,0,,,
41002627,0,,,
41002628,0,,,
41002629,0,,,
41002630,0,,,
41002631,0,,,
41002632,0,,,
41002633,0,,,
41002634,0,,,
41002635,0,,,
41002636,0,,,
41002637,0,,,
41002638,0,,,
41002639,0,,,
41002640,0,,,
41002641,0,,,
41002642,0,,,
41002643,0,,,
41002644,0,,,
41002645,0,,,
41002646,0,,,
41002647,0,,,
41002648,0,,,
41002649,0,,,
41002650,0,,,
41002651,0,,,
41002652,0,,,
41002653,0,,,
41002654,0,,,
41002655,0,,,
41002656,0,,,
41002657,0,,,
41002658,0,,,
41002659,0,,,
41002660,0,,,
41002661,0,,,
41002662,0,,,
41002663,0,,,
41002664,0,,,
41002665,0,,,
41002666,0,,,
41002667,0,,,
41002668,0,,,
41002669,0,,,
41002670,0,,,
41002671,0,,,
41002672,0,,,
41002673,0,,,
41002674,0,,,
41002675,0,,,
41002676,0,,,
41002677,0,,,
41002678,0,,,
41002679,0,,,
41002680,0,,,
41002681,0,,,
41002682,0,,,
41002683,0,,,
41002684,0,,,
41002685,0,,,
41002686,0,,,
41002687,0,,,
41002688,0,,,
41002689,0,,,
41002690,0,,,
41002691,0,,,
41002692,0,,,
41002693,0,,,
41002694,0,,,
41002695,0,,,
41002696,0,,,
41002697,0,,,
41002698,0,,,
41002699,0,,,
41002700,0,,,
41002701,0,,,
41002702,0,,,
41002703,0,,,
41002704,0,,,
41002705,0,,,
41002706,0,,,
41002707,0,,,
41002708,0,,,
41002709,0,,,
41002710,0,,,
41002711,0,,,
41002712,0,,,
41002713,0,,,
41002714,0,,,
41002715,0,,,
41002716,0,,,
41002717,0,,,
41002718,0,,,
41002719,0,,,
41002720,0,,,
41002721,0,,,
41002722,0,,,
41002723,0,,,
41002724,0,,,
41002725,0,,,
41002726,0,,,
41002727,0,,,
41002728,0,,,
41002729,0,,,
41002730,0,,,
41002731,0,,,
41002732,0,,,
41002733,0,,,
41002734,0,,,
41002735,0,,,
41002736,0,,,
41002737,0,,,
41002738,0,,,
41002739,0,,,
41002740,0,,,
41002741,0,,,
41002742,0,,,
41002743,0,,,
41002744,0,,,
41002745,0,,,
41002746,0,,,
41002747,0,,,
41002748,0,,,
41002749,0,,,
41002750,0,,,
41002751,0,,,
41002752,0,,,
41002753,0,,,
41002754,0,,,
41002755,0,,,
41002756,0,,,
41002757,0,,,
41002758,0,,,
41002759,0,,,
41002760,0,,,
41002761,0,,,
41002762,0,,,
41002763,0,,,
41002764,0,,,
41002765,0,,,
41002766,0,,,
41002767,0,,,
41002768,0,,,
41002769,0,,,
41002770,0,,,
41002771,0,,,
41002772,0,,,
41002773,0,,,
41002774,0,,,
41002775,0,,,
41002776,0,,,
41002777,0,,,
41002778,0,,,
41002779,0,,,
41002780,0,,,
41002781,0,,,
41002782,0,,,
41002783,0,,,
41002784,0,,,
41002785,0,,,
41002786,0,,,
41002787,0,,,
41002788,0,,,
41002789,0,,,
41002790,0,,,
41002791,0,,,
41002792,0,,,
41002793,0,,,
41002794,0,,,
41002795,0,,,
41002796,0,,,
41002797,0,,,
41002798,0,,,
41002799,0,,,
41002800,0,,,
41002801,0,,,
41002802,0,,,
41002803,0,,,
41002804,0,,,
41002805,0,,,
41002806,0,,,
41002807,0,,,
41002808,0,,,
41002809,0,,,
41002810,0,,,
41002811,0,,,
41002812,0,,,
41002813,0,,,
41002814,0,,,
41002815,0,,,
41002816,0,,,
41002817,0,,,
41002818,0,,,
41002819,0,,,
41002820,0,,,
41002821,0,,,
41002822,0,,,
41002823,0,,,
41002824,0,,,
41002825,0,,,
41002826,0,,,
41002827,0,,,
41002828,0,,,
41002829,0,,,
41002830,0,,,
41002831,0,,,
41002832,0,,,
41002833,0,,,
41002834,0,,,
41002835,0,,,
41002836,0,,,
41002837,0,,,
41002838,0,,,
41002839,0,,,
41002840,0,,,
41002841,0,,,
41002842,0,,,
41002843,0,,,
41002844,0,,,
41002845,0,,,
41002846,0,,,
41002847,0,,,
41002848,0,,,
41002849,0,,,
41002850,0,,,
41002851,0,,,
41002852,0,,,
41002853,0,,,
41002854,0,,,
41002855,0,,,
41002856,0,,,
41002857,0,,,
41002858,0,,,
41002859,0,,,
41002860,0,,,
41002861,0,,,
41002862,0,,,
41002863,0,,,
41002864,0,,,
41002865,0,,,
41002866,0,,,
41002867,0,,,
41002868,0,,,
41002869,0,,,
41002870,0,,,
41002871,0,,,
41002872,0,,,
41002873,0,,,
41002874,0,,,
41002875,0,,,
41002876,0,,,
41002877,0,,,
41002878,0,,,
41002879,0,,,
41002880,0,,,
41002881,0,,,
41002882,0,,,
41002883,0,,,
41002884,0,,,
41002885,0,,,
41002886,0,,,
41002887,0,,,
41002888,0,,,
41002889,0,,,
41002890,0,,,
41002891,0,,,
41002892,0,,,
41002893,0,,,
41002894,0,,,
41002895,0,,,
41002896,0,,,
41002897,0,,,
41002898,0,,,
41002899,0,,,
41002900,0,,,
41002901,0,,,
41002902,0,,,
41002903,0,,,
41002904,0,,,
41002905,0,,,
41002906,0,,,
41002907,0,,,
41002908,0,,,
41002909,0,,,
41002910,0,,,
41002911,0,,,
41002912,0,,,
41002913,0,,,
41002914,0,,,
41002915,0,,,
41002916,0,,,
41002917,0,,,
41002918,0,,,
41002919,0,,,
41002920,0,,,
41002921,0,,,
41002922,0,,,
41002923,0,,,
41002924,0,,,
41002925,0,,,
41002926,0,,,
41002927,0,,,
41002928,0,,,
41002929,0,,,
41002930,0,,,
41002931,0,,,
41002932,0,,,
41002933,0,,,
41002934,0,,,
41002935,0,,,
41002936,0,,,
41002937,0,,,
41002938,0,,,
41002939,0,,,
41002940,0,,,
41002941,0,,,
