co1,co2,Columna1,Columna2,Columna2
47505053,0,,,
47505054,0,,,
47505055,0,,,
47505056,0,,,
47505057,0,,,
47505058,0,,,
47505059,0,,,
47505060,0,,,
47505061,0,,,
47505062,0,,,
47505063,0,,,
47505064,0,,,
47505065,0,,,
47505066,0,,,
47505067,0,,,
47505068,0,,,
47505069,0,,,
47505070,0,,,
47505071,0,,,
47505072,0,,,
47505073,0,,,
47505074,0,,,
47505075,0,,,
47505076,0,,,
47505077,0,,,
47505078,0,,,
47505079,0,,,
47505080,0,,,
47505081,0,,,
47505082,0,,,
47505083,0,,,
47505084,0,,,
47505085,0,,,
47505086,0,,,
47505087,0,,,
47505088,0,,,
47505089,0,,,
47505090,0,,,
47505091,0,,,
47505092,0,,,
47505093,0,,,
47505094,0,,,
47505095,0,,,
47505096,0,,,
47505097,0,,,
47505098,0,,,
47505099,0,,,
47505100,0,,,
47505101,0,,,
47505102,0,,,
47505103,0,,,
47505104,0,,,
47505105,0,,,
47505106,0,,,
47505107,0,,,
47505108,0,,,
47505109,0,,,
47505110,0,,,
47505111,0,,,
47505112,0,,,
47505113,0,,,
47505114,0,,,
47505115,0,,,
47505116,0,,,
47505117,0,,,
47505118,0,,,
47505119,0,,,
47505120,0,,,
47505121,0,,,
47505122,0,,,
47505123,0,,,
47505124,0,,,
47505125,0,,,
47505126,0,,,
47505127,0,,,
47505128,0,,,
47505129,0,,,
47505130,0,,,
47505131,0,,,
47505132,0,,,
47505133,0,,,
47505134,0,,,
47505135,0,,,
47505136,0,,,
47505137,0,,,
47505138,0,,,
47505139,0,,,
47505140,0,,,
47505141,0,,,
47505142,0,,,
47505143,0,,,
47505144,0,,,
47505145,0,,,
47505146,0,,,
47505147,0,,,
47505148,0,,,
47505149,0,,,
47505150,0,,,
47505151,0,,,
47505152,0,,,
47505153,0,,,
47505154,0,,,
47505155,0,,,
47505156,0,,,
47505157,0,,,
47505158,0,,,
47505159,0,,,
47505160,0,,,
47505161,0,,,
47505162,0,,,
47505163,0,,,
47505164,0,,,
47505165,0,,,
47505166,0,,,
47505167,0,,,
47505168,0,,,
47505169,0,,,
47505170,0,,,
47505171,0,,,
47505172,0,,,
47505173,0,,,
47505174,0,,,
47505175,0,,,
47505176,0,,,
47505177,0,,,
47505178,0,,,
47505179,0,,,
47505180,0,,,
47505181,0,,,
47505182,0,,,
47505183,0,,,
47505184,0,,,
47505185,0,,,
47505186,0,,,
47505187,0,,,
47505188,0,,,
47505189,0,,,
47505190,0,,,
47505191,0,,,
47505192,0,,,
47505193,0,,,
47505194,0,,,
47505195,0,,,
47505196,0,,,
47505197,0,,,
47505198,0,,,
47505199,0,,,
47505200,0,,,
47505201,0,,,
47505202,0,,,
47505203,0,,,
47505204,0,,,
47505205,0,,,
47505206,0,,,
47505207,0,,,
47505208,0,,,
47505209,0,,,
47505210,0,,,
47505211,0,,,
47505212,0,,,
47505213,0,,,
47505214,0,,,
47505215,0,,,
47505216,0,,,
47505217,0,,,
47505218,0,,,
47505219,0,,,
47505220,0,,,
47505221,0,,,
47505222,0,,,
47505223,0,,,
47505224,0,,,
47505225,0,,,
47505226,0,,,
47505227,0,,,
47505228,0,,,
47505229,0,,,
47505230,0,,,
