col1,co2,Columna1,Columna2,Columna2
08130869,0,,,
08130870,0,,,
08130871,0,,,
08130872,0,,,
08130873,0,,,
08130874,0,,,
08130875,0,,,
08130876,0,,,
08130877,0,,,
08130878,0,,,
08130879,0,,,
08130880,0,,,
08130881,0,,,
08130882,0,,,
08130883,0,,,
08130884,0,,,
08130885,0,,,
08130886,0,,,
08130887,0,,,
08130888,0,,,
08130889,0,,,
08130890,0,,,
08130891,0,,,
08130892,0,,,
08130893,0,,,
08130894,0,,,
08130895,0,,,
08130896,0,,,
08130897,0,,,
08130898,0,,,
08130899,0,,,
08130900,0,,,
08130901,0,,,
08130902,0,,,
08130903,0,,,
08130904,0,,,
08130905,0,,,
08130906,0,,,
08130907,0,,,
08130908,0,,,
08130909,0,,,
08130910,0,,,
08130911,0,,,
08130912,0,,,
08130913,0,,,
08130914,0,,,
08130915,0,,,
08130916,0,,,
08130917,0,,,
08130918,0,,,
08130919,0,,,
08130920,0,,,
08130921,0,,,
08130922,0,,,
08130923,0,,,
08130924,0,,,
08130925,0,,,
08130926,0,,,
08130927,0,,,
08130928,0,,,
08130929,0,,,
08130930,0,,,
08130931,0,,,
08130932,0,,,
08130933,0,,,
08130934,0,,,
08130935,0,,,
08130936,0,,,
08130937,0,,,
08130938,0,,,
08130939,0,,,
08130940,0,,,
08130941,0,,,
08130942,0,,,
08130943,0,,,
08130944,0,,,
08130945,0,,,
08130946,0,,,
08130947,0,,,
08130948,0,,,
08130949,0,,,
08130950,0,,,
08130951,0,,,
08130952,0,,,
08130953,0,,,
08130954,0,,,
08130955,0,,,
08130956,0,,,
08130957,0,,,
08130958,0,,,
08130959,0,,,
08130960,0,,,
08130961,0,,,
08130962,0,,,
08130963,0,,,
08130964,0,,,
08130965,0,,,
08130966,0,,,
08130967,0,,,
08130968,0,,,
08130969,0,,,
08130970,0,,,
08130971,0,,,
08130972,0,,,
08130973,0,,,
08130974,0,,,
08130975,0,,,
08130976,0,,,
08130977,0,,,
08130978,0,,,
08130979,0,,,
08130980,0,,,
08130981,0,,,
08130982,0,,,
08130983,0,,,
08130984,0,,,
08130985,0,,,
08130986,0,,,
08130987,0,,,
08130988,0,,,
08130989,0,,,
08130990,0,,,
08130991,0,,,
08130992,0,,,
08130993,0,,,
08130994,0,,,
08130995,0,,,
08130996,0,,,
08130997,0,,,
08130998,0,,,
08130999,0,,,
08131000,0,,,
08131001,0,,,
08131002,0,,,
08131003,0,,,
08131004,0,,,
08131005,0,,,
08131006,0,,,
08131007,0,,,
08131008,0,,,
08131009,0,,,
08131010,0,,,
08131011,0,,,
08131012,0,,,
08131013,0,,,
08131014,0,,,
08131015,0,,,
08131016,0,,,
08131017,0,,,
08131018,0,,,
08131019,0,,,
08131020,0,,,
08131021,0,,,
08131022,0,,,
08131023,0,,,
08131024,0,,,
08131025,0,,,
08131026,0,,,
08131027,0,,,
08131028,0,,,
08131029,0,,,
08131030,0,,,
08131031,0,,,
08131032,0,,,
08131033,0,,,
08131034,0,,,
08131035,0,,,
08131036,0,,,
